Ticker,Overlay,ActionType,WeightBefore,WeightAfter,WeightReleased,WeightRedistributedToEligible,WeightFreedToSGOV,Reason,Date,StartWindow,AboveSMA126,Mom63,Mom126
INDA,StalePosition,SoftTargetTrim,0.051304227175961,0.0256521135879805,0.0256521135879805,0.0256521135879805,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-07-02,2022-01-01,,,
JMOM,StalePosition,SoftTargetTrim,0.09618093884367619,0.048090469421838096,0.048090469421838096,0.048090469421838096,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-07-02,2022-01-01,,,
KCE,StalePosition,SoftTargetTrim,0.0584664395459801,0.02923321977299005,0.02923321977299005,0.02923321977299005,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-07-02,2022-01-01,,,
URA,StalePosition,HardExit,0.030192158189873627,0.0,0.030192158189873627,0.0,0.030192158189873627,Ineligible and below SMA126 -> hard exit after turnover cap,2024-07-02,2022-01-01,False,-0.07823936518918018,0.06615736236789904
XHB,StalePosition,HardExit,0.025634608881950915,0.0,0.025634608881950915,0.0,0.025634608881950915,Ineligible and below SMA126 -> hard exit after turnover cap,2024-07-02,2022-01-01,False,-0.09260023681949825,0.044967192843127446
GLDM,StalePosition,SoftTargetTrim,0.0470841167677123,0.02354205838385615,0.02354205838385615,0.02354205838385615,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-02,2022-01-01,,,
INDA,StalePosition,SoftTargetTrim,0.04191327923590277,0.020956639617951384,0.020956639617951384,0.020956639617951384,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-02,2022-01-01,,,
JMOM,StalePosition,SoftTargetTrim,0.07857556323965377,0.039287781619826885,0.039287781619826885,0.039287781619826885,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-02,2022-01-01,,,
SLV,StalePosition,SoftTargetTrim,0.06964796776011026,0.03482398388005513,0.03482398388005513,0.03482398388005513,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-02,2022-01-01,,,
TDIV,StalePosition,SoftTargetTrim,0.04457794642237996,0.02228897321118998,0.02228897321118998,0.02228897321118998,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-02,2022-01-01,,,
TMFC,StalePosition,SoftTargetTrim,0.04457794642237996,0.02228897321118998,0.02228897321118998,0.02228897321118998,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-02,2022-01-01,,,
XLC,StalePosition,SoftTargetTrim,0.05151397413962118,0.02575698706981059,0.02575698706981059,0.02575698706981059,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-02,2022-01-01,,,
BLOK,StalePosition,HardExit,0.05840516058181821,0.0,0.05840516058181821,0.0,0.05840516058181821,Ineligible and below SMA126 -> hard exit after turnover cap,2024-08-02,2022-01-01,False,0.04167958272435124,0.22584181142631565
EPOL,StalePosition,HardExit,0.046437055508439275,0.0,0.046437055508439275,0.0,0.046437055508439275,Ineligible and below SMA126 -> hard exit after turnover cap,2024-08-02,2022-01-01,False,-0.021818353350520403,0.045835673899603524
HEFA,StalePosition,HardExit,0.058030192936126455,0.0,0.058030192936126455,0.0,0.058030192936126455,Ineligible and below SMA126 -> hard exit after turnover cap,2024-08-02,2022-01-01,False,-0.023799361039672395,0.04612293506232423
SMH,StalePosition,HardExit,0.06526252637916213,0.0,0.06526252637916213,0.0,0.06526252637916213,Ineligible and below SMA126 -> hard exit after turnover cap,2024-08-02,2022-01-01,False,0.003215055146047474,0.1422967656244538
INDA,StalePosition,SoftTargetTrim,0.036896094048321906,0.018448047024160953,0.018448047024160953,0.018448047024160953,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-30,2022-01-01,,,
JMOM,StalePosition,SoftTargetTrim,0.06916975774844039,0.034584878874220196,0.034584878874220196,0.034584878874220196,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-30,2022-01-01,,,
KCE,StalePosition,SoftTargetTrim,0.0660786452931669,0.03303932264658345,0.03303932264658345,0.03303932264658345,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-30,2022-01-01,,,
SLV,StalePosition,SoftTargetTrim,0.061310830734291284,0.030655415367145642,0.030655415367145642,0.030655415367145642,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-30,2022-01-01,,,
TDIV,StalePosition,SoftTargetTrim,0.03924179004042941,0.019620895020214704,0.019620895020214704,0.019620895020214704,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-30,2022-01-01,,,
TMFC,StalePosition,SoftTargetTrim,0.03924179004042941,0.019620895020214704,0.019620895020214704,0.019620895020214704,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-30,2022-01-01,,,
XLC,StalePosition,SoftTargetTrim,0.04534754782513374,0.02267377391256687,0.02267377391256687,0.02267377391256687,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-08-30,2022-01-01,,,
INDA,StalePosition,SoftTargetTrim,0.03072868400309346,0.01536434200154673,0.01536434200154673,0.01536434200154673,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-10-02,2022-01-01,,,
JMOM,StalePosition,SoftTargetTrim,0.05760760544567783,0.028803802722838914,0.028803802722838914,0.028803802722838914,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-10-02,2022-01-01,,,
SLV,StalePosition,SoftTargetTrim,0.051062346630344056,0.025531173315172028,0.025531173315172028,0.025531173315172028,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-10-02,2022-01-01,,,
SMIN,StalePosition,SoftTargetTrim,0.09701193495180836,0.04850596747590418,0.04850596747590418,0.04850596747590418,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-10-02,2022-01-01,,,
TDIV,StalePosition,SoftTargetTrim,0.03268228241961941,0.016341141209809704,0.016341141209809704,0.016341141209809704,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-10-02,2022-01-01,,,
TMFC,StalePosition,SoftTargetTrim,0.03268228241961941,0.016341141209809704,0.016341141209809704,0.016341141209809704,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-10-02,2022-01-01,,,
USMV,StalePosition,SoftTargetTrim,0.06089125521897661,0.030445627609488306,0.030445627609488306,0.030445627609488306,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-10-02,2022-01-01,,,
XLC,StalePosition,SoftTargetTrim,0.03776742507238595,0.018883712536192976,0.018883712536192976,0.018883712536192976,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-10-02,2022-01-01,,,
XLF,StalePosition,SoftTargetTrim,0.04021508725538323,0.020107543627691616,0.020107543627691616,0.020107543627691616,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-10-02,2022-01-01,,,
XLP,StalePosition,SoftTargetTrim,0.05611145760327863,0.028055728801639316,0.028055728801639316,0.028055728801639316,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-10-02,2022-01-01,,,
EWM,StalePosition,SoftTargetTrim,0.09486297390028582,0.04743148695014291,0.04743148695014291,0.04743148695014291,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-11-01,2022-01-01,,,
EWS,StalePosition,SoftTargetTrim,0.044093730263608966,0.022046865131804483,0.022046865131804483,0.022046865131804483,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-11-01,2022-01-01,,,
FNDE,StalePosition,SoftTargetTrim,0.04409373026360896,0.02204686513180448,0.02204686513180448,0.02204686513180448,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-11-01,2022-01-01,,,
JMOM,StalePosition,SoftTargetTrim,0.05025307119949029,0.025126535599745144,0.025126535599745144,0.025126535599745144,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-11-01,2022-01-01,,,
KIE,StalePosition,SoftTargetTrim,0.08232715018892882,0.04116357509446441,0.04116357509446441,0.04116357509446441,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-11-01,2022-01-01,,,
MCHI,StalePosition,SoftTargetTrim,0.044093730263608966,0.022046865131804483,0.022046865131804483,0.022046865131804483,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-11-01,2022-01-01,,,
SLV,StalePosition,SoftTargetTrim,0.044543419588016525,0.022271709794008263,0.022271709794008263,0.022271709794008263,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-11-01,2022-01-01,,,
SMIN,StalePosition,SoftTargetTrim,0.08462680641934785,0.042313403209673923,0.042313403209673923,0.042313403209673923,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-11-01,2022-01-01,,,
USMV,StalePosition,SoftTargetTrim,0.05311751044453714,0.02655875522226857,0.02655875522226857,0.02655875522226857,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-11-01,2022-01-01,,,
XHB,StalePosition,SoftTargetTrim,0.04409373026360898,0.02204686513180449,0.02204686513180449,0.02204686513180449,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-11-01,2022-01-01,,,
XLP,StalePosition,SoftTargetTrim,0.048947930611413795,0.024473965305706898,0.024473965305706898,0.024473965305706898,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-11-01,2022-01-01,,,
XLU,StalePosition,SoftTargetTrim,0.08232715018892882,0.04116357509446441,0.04116357509446441,0.04116357509446441,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-11-01,2022-01-01,,,
FNDE,StalePosition,SoftTargetTrim,0.042108903210079346,0.021054451605039673,0.021054451605039673,0.021054451605039673,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-12-02,2022-01-01,,,
GLDM,StalePosition,SoftTargetTrim,0.09711961674461979,0.048559808372309894,0.048559808372309894,0.048559808372309894,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-12-02,2022-01-01,,,
JMOM,StalePosition,SoftTargetTrim,0.04799098870741277,0.023995494353706386,0.023995494353706386,0.023995494353706386,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-12-02,2022-01-01,,,
MCHI,StalePosition,SoftTargetTrim,0.04210890321007935,0.021054451605039676,0.021054451605039676,0.021054451605039676,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-12-02,2022-01-01,,,
SLV,StalePosition,SoftTargetTrim,0.04253835030205541,0.021269175151027706,0.021269175151027706,0.021269175151027706,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-12-02,2022-01-01,,,
SMIN,StalePosition,SoftTargetTrim,0.08081743094054962,0.04040871547027481,0.04040871547027481,0.04040871547027481,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-12-02,2022-01-01,,,
USMV,StalePosition,SoftTargetTrim,0.05072648861181479,0.025363244305907397,0.025363244305907397,0.025363244305907397,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-12-02,2022-01-01,,,
XHB,StalePosition,SoftTargetTrim,0.04210890321007936,0.02105445160503968,0.02105445160503968,0.02105445160503968,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-12-02,2022-01-01,,,
XLF,StalePosition,SoftTargetTrim,0.06336466993043346,0.03168233496521673,0.03168233496521673,0.03168233496521673,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-12-02,2022-01-01,,,
XLP,StalePosition,SoftTargetTrim,0.04674459747740571,0.023372298738702856,0.023372298738702856,0.023372298738702856,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-12-02,2022-01-01,,,
XLU,StalePosition,SoftTargetTrim,0.07862129101216869,0.039310645506084346,0.039310645506084346,0.039310645506084346,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-12-02,2022-01-01,,,
EWM,StalePosition,HardExit,0.053525945450903785,0.0,0.053525945450903785,0.0,0.053525945450903785,Ineligible and below SMA126 -> hard exit after turnover cap,2024-12-02,2022-01-01,False,-0.0463938202008326,0.07120186346990165
EWS,StalePosition,SoftTargetTrim,0.06751889947698017,0.033759449738490085,0.033759449738490085,0.033759449738490085,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2025-01-02,2022-01-01,,,
GLDM,StalePosition,SoftTargetTrim,0.09045033565575893,0.04522516782787946,0.04522516782787946,0.04522516782787946,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2025-01-02,2022-01-01,,,
JMOM,StalePosition,SoftTargetTrim,0.04469540946039299,0.022347704730196497,0.022347704730196497,0.022347704730196497,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2025-01-02,2022-01-01,,,
