Date,Strategy,SPY,QQQ,VTI
2023-04-19,-0.03609049440334322,-0.11564562205185924,-0.20304390649569182,-0.13446902481964784
2023-04-20,-0.03585484911163972,-0.12047161840783516,-0.20912024355108472,-0.13984437603477595
2023-04-21,-0.038663805910808424,-0.11978826204927373,-0.2082949247128849,-0.13908848399786466
2023-04-24,-0.03655161422146491,-0.11887005922829197,-0.20994532913855324,-0.13875245763605448
2023-04-25,-0.045025068192237505,-0.13285703655403236,-0.2248488846261032,-0.15311507544601377
2023-04-26,-0.047791129130047794,-0.13652977994363735,-0.2201479493839703,-0.1569365556535124
2023-04-27,-0.03933742146934793,-0.11933982004745591,-0.1989428921349108,-0.14110430761440218
2023-04-28,-0.037510913751523045,-0.11182317168057232,-0.19341679355506558,-0.13362909273685186
2023-05-01,-0.03850961063578484,-0.11272025936717645,-0.1943420214565803,-0.1340490253228176
2023-05-02,-0.04269161411251421,-0.12269244170525595,-0.20136854424175576,-0.1446319822156269
2023-05-03,-0.04076402402903012,-0.128714260767972,-0.20659483788141253,-0.14962942086773168
2023-05-04,-0.0415444780461065,-0.13488537944643342,-0.20939540166398063,-0.15597076423448308
2023-05-05,-0.03557756523147848,-0.11887005922829152,-0.19259131921637807,-0.14039030177870448
2023-05-08,-0.0344909935123241,-0.11863528066019369,-0.19059119419398596,-0.13946639656088822
2023-05-09,-0.03397712539047637,-0.1225002328775272,-0.19571719001910892,-0.14299407116211282
2023-05-10,-0.032498041328670624,-0.11840016262048203,-0.18696531157321816,-0.1392145440666921
2023-05-11,-0.0376600064199627,-0.11993776534798706,-0.18431449476025663,-0.14034848248835585
2023-05-12,-0.038023885802521695,-0.12109095042003515,-0.18724023643538246,-0.1423641053722997
2023-05-15,-0.03367299461643414,-0.11805858628268551,-0.1828392616339255,-0.13871050452397704
2023-05-16,-0.03875743131697296,-0.12395222086403412,-0.18191411148265457,-0.14538774043080938
2023-05-17,-0.0370192723273296,-0.11331806887906215,-0.17201184042913265,-0.1343010116387432
2023-05-18,-0.03808668571008744,-0.10477648781582072,-0.15663338645230107,-0.1256917914286646
2023-05-19,-0.0388048293909401,-0.10607904039793692,-0.15853375791186597,-0.1277915881802224
2023-05-22,-0.04060251321283492,-0.105715941559826,-0.15570808080054255,-0.12627987101726446
